time,Parent child,Child parent,Boss worker,stranger
0,0.764721,0.634001,0.584950,0.399155
1,0.885370,0.686078,0.697233,0.415881
2,1.041456,0.800404,0.878875,0.573093
3,1.097427,0.793146,0.958856,0.586634
4,1.097572,0.777602,0.972293,0.587667
5,1.085336,0.760233,0.970892,0.585347
6,1.074865,0.745207,0.971448,0.586268
7,1.066130,0.732552,0.973870,0.590273
8,1.059096,0.722277,0.978059,0.597159
9,1.053836,0.714542,0.984539,0.607715
10,1.050296,0.709311,0.992521,0.620563
11,1.048329,0.706394,1.001797,0.635293
12,1.047785,0.705588,1.012168,0.651525
13,1.048745,0.707012,1.023919,0.669635
14,1.050975,0.710315,1.036594,0.688860
15,1.054352,0.715303,1.050044,0.708938
16,1.058756,0.721778,1.064130,0.729639
17,1.057566,0.720032,1.068168,0.735515
18,1.054561,0.715612,1.068941,0.736638
19,1.051929,0.711726,1.070089,0.738302
20,1.049670,0.708383,1.071608,0.740502
21,1.047789,0.705592,1.073497,0.743234
22,1.046286,0.703359,1.075756,0.746492
23,1.045164,0.701689,1.078380,0.750269
24,1.044424,0.700586,1.081368,0.754558
25,1.044067,0.700054,1.084717,0.759349
26,1.044092,0.700092,1.088423,0.764633
27,1.044501,0.700701,1.092483,0.770401
28,1.045292,0.701880,1.096892,0.776641
29,1.046131,0.703129,1.101117,0.782598
30,1.044991,0.701431,1.101926,0.783735
31,1.042173,0.697227,1.099670,0.780559
32,1.038081,0.691095,1.094725,0.773578
